userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70086962;201808;2018-08-05;0.6;0.0;4.0;35.0;0.0;0.0;1.0;2.0;;3.0;3.0;80.0;;;;;;;;;;;;;;
70086971;201808;2018-08-09;0.5;0.0;4.0;52.0;0.0;0.0;0.0;1.0;;2.0;4.0;50.0;;;;;;;;;;;;;;
70087011;201808;2018-08-03;0.9;0.0;3.0;62.0;0.0;0.0;0.0;0.0;;2.0;4.0;50.0;;;;;;;;;;;;;;
70087023;201808;2018-08-22;1.3;1.0;3.0;47.0;0.0;1.0;0.0;0.0;;2.0;2.0;18.0;;;;;;;;;;;;;;
70087068;201808;2018-08-06;0.8;0.0;4.0;34.0;0.0;0.0;1.0;0.0;;3.5;5.0;20.0;;;;;;;;;;;;;;
70087089;201808;2018-08-12;0.6;1.0;4.0;70.0;0.0;0.0;0.0;0.0;;3.0;10.0;50.0;;;;;;;;;;;;;;
70087099;201808;2018-08-03;0.4;0.0;4.0;68.0;0.0;0.0;1.0;0.0;;5.0;10.0;19.0;;;;;;;;;;;;;;
70087126;201808;2018-08-04;0.5;0.0;4.0;80.0;0.0;0.0;1.0;0.0;;3.0;15.0;25.0;;;;;;;;;;;;;;
70087143;201808;2018-08-15;0.5;0.0;4.0;68.0;0.0;0.0;0.0;0.0;;6.0;-3.0;49.0;;;;;;;;;;;;;;
70087157;201808;2018-08-03;0.4;0.0;4.0;61.0;0.0;0.0;1.0;0.0;;-1.0;3.0;30.0;;;;;;;;;;;;;;
70087186;201808;2018-08-30;0.8;0.0;4.0;65.0;0.0;0.0;1.0;0.0;;2.0;5.0;40.0;;;;;;;;;;;;;;
70087206;201808;2018-08-03;2.7;1.0;2.0;68.0;0.0;0.0;0.0;0.0;;2.0;-5.0;50.0;;;;;;;;;;;;;;
70087247;201808;2018-08-22;0.5;0.0;4.0;36.0;0.0;0.0;1.0;2.0;;1.0;1.0;50.0;;;;;;;;;;;;;;
70087272;201808;2018-08-24;1.0;1.0;3.0;42.0;0.0;0.0;1.0;1.0;;3.0;3.0;40.0;;;;;;;;;;;;;;
70087305;201808;2018-08-21;0.7;0.0;3.0;68.0;0.0;0.0;1.0;1.0;;2.0;3.0;60.0;;;;;;;;;;;;;;
70087386;201808;2018-08-14;0.8;1.0;4.0;34.0;0.0;0.0;1.0;0.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70087616;201808;2018-08-02;0.9;1.0;3.0;54.0;0.0;0.0;1.0;0.0;;3.0;3.0;6.0;;;;;;;;;;;;;;
70087655;201808;2018-08-06;0.8;1.0;3.0;47.0;0.0;1.0;0.0;0.0;;10.0;3.0;6.0;;;;;;;;;;;;;;
70087684;201808;2018-08-29;1.0;1.0;3.0;35.0;0.0;0.0;1.0;3.0;;2.0;5.0;70.0;;;;;;;;;;;;;;
70087915;201808;2018-08-03;1.0;1.0;3.0;39.0;0.0;0.0;1.0;0.0;;2.0;2.0;10.0;;;;;;;;;;;;;;
70087935;201808;2018-08-24;0.5;1.0;4.0;67.0;0.0;0.0;1.0;0.0;;4.0;2.0;20.0;;;;;;;;;;;;;;
70087953;201808;2018-08-22;0.5;1.0;4.0;55.0;0.0;0.0;1.0;0.0;;2.0;2.0;49.0;;;;;;;;;;;;;;
70087961;201808;2018-08-02;0.5;0.0;4.0;71.0;0.0;0.0;0.0;0.0;;3.0;6.0;60.0;;;;;;;;;;;;;;
70087969;201808;2018-08-19;0.7;0.0;4.0;63.0;0.0;0.0;0.0;0.0;;3.5;2.0;30.0;;;;;;;;;;;;;;
70087977;201808;2018-08-28;0.7;0.0;4.0;57.0;0.0;0.0;1.0;1.0;;3.0;5.0;60.0;;;;;;;;;;;;;;
