userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
75016469;202412;2024-12-20;0.7;0.0;3.0;48.0;0.0;0.0;0.0;1.0;;3.0;-3.0;26.0;;;;;;;;;;;;;;
75016476;202412;2024-12-16;0.7;1.0;3.0;41.0;0.0;0.0;0.0;3.0;;-3.0;2.0;9.0;;;;;;;;;;;;;;
75016480;202412;2024-12-13;3.2;1.0;2.0;62.0;0.0;0.0;1.0;3.0;;-40.0;-20.0;0.0;;;;;;;;;;;;;;
75016481;202412;2024-12-20;0.9;1.0;3.0;59.0;0.0;0.0;0.0;0.0;;4.0;-2.0;20.0;;;;;;;;;;;;;;
75016497;202412;2024-12-02;0.8;1.0;4.0;70.0;0.0;0.0;0.0;0.0;;5.0;6.0;37.0;;;;;;;;;;;;;;
75016551;202412;2024-12-23;0.6;0.0;4.0;39.0;0.0;0.0;1.0;2.0;;2.7;4.0;66.0;;;;;;;;;;;;;;
75016562;202412;2024-12-20;1.2;0.0;3.0;63.0;0.0;0.0;0.0;0.0;;-1.0;4.0;10.0;;;;;;;;;;;;;;
75016565;202412;2024-12-19;1.0;1.0;4.0;71.0;0.0;0.0;1.0;1.0;;2.0;1.0;69.0;;;;;;;;;;;;;;
75016598;202412;2024-12-13;0.5;1.0;4.0;33.0;0.0;0.0;1.0;2.0;;5.0;5.0;25.0;;;;;;;;;;;;;;
75016605;202412;2024-12-02;1.9;1.0;2.0;45.0;0.0;1.0;1.0;3.0;;37.0;5.0;50.0;;;;;;;;;;;;;;
75016606;202412;2024-12-20;1.0;1.0;4.0;66.0;0.0;0.0;0.0;4.0;;3.0;5.0;60.0;;;;;;;;;;;;;;
75016607;202412;2024-12-13;0.7;0.0;3.0;32.0;0.0;0.0;0.0;0.0;;2.0;3.0;60.0;;;;;;;;;;;;;;
75016616;202412;2024-12-03;0.8;1.0;3.0;48.0;0.0;1.0;1.0;0.0;;20.0;15.0;1.0;;;;;;;;;;;;;;
75016618;202412;2024-12-30;2.8;0.0;1.0;54.0;0.0;0.0;1.0;0.0;;-2.0;5.0;100.0;;;;;;;;;;;;;;
75016619;202412;2024-12-02;0.5;0.0;4.0;30.0;0.0;0.0;0.0;0.0;;5.0;20.0;20.0;;;;;;;;;;;;;;
75016631;202412;2024-12-05;0.5;0.0;4.0;28.0;0.0;0.0;0.0;0.0;;2.0;8.0;59.0;;;;;;;;;;;;;;
75016654;202412;2024-12-18;1.1;1.0;3.0;56.0;0.0;0.0;1.0;0.0;;-30.0;-10.0;50.0;;;;;;;;;;;;;;
75016662;202412;2024-12-12;1.0;0.0;3.0;64.0;0.0;0.0;1.0;0.0;;-10.0;-5.0;43.0;;;;;;;;;;;;;;
75016669;202412;2024-12-19;0.8;0.0;4.0;68.0;0.0;0.0;1.0;0.0;;4.0;-4.0;9.0;;;;;;;;;;;;;;
75016675;202412;2024-12-21;2.2;1.0;2.0;47.0;1.0;0.0;0.0;2.0;;15.0;15.0;10.0;;;;;;;;;;;;;;
75016705;202412;2024-12-12;2.3;1.0;2.0;29.0;0.0;0.0;1.0;1.0;;60.0;40.0;49.0;;;;;;;;;;;;;;
