userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70043539;201502;2015-02-15;0.7;0.0;4.0;58.0;0.0;0.0;1.0;0.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70043552;201502;2015-02-09;2.7;1.0;2.0;34.0;0.0;0.0;0.0;2.0;;-6.0;5.0;30.0;;;;;;;;;;;;;;
70043564;201502;2015-02-02;0.9;1.0;3.0;64.0;0.0;0.0;0.0;0.0;;10.0;20.0;20.0;;;;;;;;;;;;;;
70043597;201502;2015-02-11;0.8;1.0;3.0;45.0;0.0;0.0;1.0;1.0;;1.0;2.0;20.0;;;;;;;;;;;;;;
70043745;201502;2015-02-04;0.8;0.0;3.0;59.0;0.0;0.0;1.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70043753;201502;2015-02-02;0.6;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;5.0;5.0;20.0;;;;;;;;;;;;;;
70043798;201502;2015-02-16;0.7;1.0;4.0;51.0;0.0;0.0;1.0;1.0;;1.0;7.0;60.0;;;;;;;;;;;;;;
70043863;201502;2015-02-11;0.5;1.0;4.0;54.0;0.0;0.0;0.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70043868;201502;2015-02-02;0.5;0.0;4.0;64.0;0.0;0.0;1.0;0.0;;3.5;2.5;63.0;;;;;;;;;;;;;;
70043890;201502;2015-02-21;0.8;0.0;3.0;45.0;0.0;0.0;1.0;3.0;;2.0;5.0;60.0;;;;;;;;;;;;;;
70043943;201502;2015-02-12;0.6;1.0;4.0;33.0;0.0;0.0;0.0;0.0;;2.0;1.0;30.0;;;;;;;;;;;;;;
70043962;201502;2015-02-01;2.4;1.0;2.0;68.0;0.0;0.0;0.0;0.0;;10.0;10.0;9.0;;;;;;;;;;;;;;
70044078;201502;2015-02-15;0.8;0.0;3.0;86.0;0.0;0.0;0.0;0.0;;6.0;9.0;30.0;;;;;;;;;;;;;;
70044163;201502;2015-02-12;0.5;0.0;4.0;82.0;0.0;0.0;1.0;0.0;;5.0;10.0;20.0;;;;;;;;;;;;;;
70044221;201502;2015-02-18;2.7;0.0;2.0;27.0;1.0;0.0;1.0;0.0;;10.0;15.0;40.0;;;;;;;;;;;;;;
70044324;201502;2015-02-28;0.6;1.0;4.0;34.0;0.0;0.0;1.0;3.0;;2.0;3.0;52.0;;;;;;;;;;;;;;
70044487;201502;2015-02-18;2.9;1.0;2.0;60.0;0.0;0.0;1.0;0.0;;5.0;8.0;60.0;;;;;;;;;;;;;;
70044491;201502;2015-02-02;1.1;0.0;3.0;41.0;1.0;0.0;1.0;2.0;;2.8;6.0;53.0;;;;;;;;;;;;;;
