userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70055138;201601;2016-01-30;3.5;1.0;2.0;30.0;0.0;0.0;1.0;3.0;;20.0;20.0;50.0;;;;;;;;;;;;;;
70055145;201601;2016-01-24;0.6;0.0;3.0;52.0;0.0;0.0;1.0;0.0;;1.7;3.5;55.0;;;;;;;;;;;;;;
70055162;201601;2016-01-29;0.9;1.0;3.0;47.0;0.0;1.0;0.0;2.0;;15.0;7.0;5.0;;;;;;;;;;;;;;
70055174;201601;2016-01-18;1.0;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;1.5;1.5;60.0;;;;;;;;;;;;;;
70055272;201601;2016-01-15;1.1;0.0;3.0;68.0;0.0;0.0;1.0;0.0;;2.0;1.0;10.0;;;;;;;;;;;;;;
70055283;201601;2016-01-22;0.5;0.0;4.0;25.0;0.0;0.0;1.0;0.0;;2.0;10.0;5.0;;;;;;;;;;;;;;
70055285;201601;2016-01-30;0.5;1.0;4.0;41.0;0.0;0.0;0.0;0.0;;1.5;2.5;20.0;;;;;;;;;;;;;;
70055312;201601;2016-01-31;1.1;0.0;3.0;52.0;0.0;0.0;1.0;0.0;;-35.0;25.0;35.0;;;;;;;;;;;;;;
70055342;201601;2016-01-21;0.5;1.0;4.0;58.0;0.0;0.0;0.0;0.0;;4.0;5.0;30.0;;;;;;;;;;;;;;
70055387;201601;2016-01-14;1.4;1.0;3.0;28.0;0.0;0.0;0.0;0.0;;0.0;-2.0;50.0;;;;;;;;;;;;;;
70055390;201601;2016-01-15;0.6;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;5.0;10.0;50.0;;;;;;;;;;;;;;
70055402;201601;2016-01-20;1.1;0.0;3.0;70.0;0.0;0.0;0.0;0.0;;2.0;3.0;40.0;;;;;;;;;;;;;;
70055409;201601;2016-01-15;0.9;1.0;3.0;56.0;0.0;0.0;1.0;0.0;;5.0;2.0;30.0;;;;;;;;;;;;;;
70055432;201601;2016-01-14;1.4;1.0;3.0;28.0;0.0;0.0;0.0;0.0;;2.0;12.0;15.0;;;;;;;;;;;;;;
70055440;201601;2016-01-09;1.1;1.0;3.0;74.0;0.0;0.0;0.0;0.0;;2.0;3.0;4.0;;;;;;;;;;;;;;
70055580;201601;2016-01-22;0.5;1.0;4.0;77.0;0.0;0.0;1.0;0.0;;15.0;10.0;40.0;;;;;;;;;;;;;;
70055599;201601;2016-01-07;0.7;0.0;3.0;71.0;0.0;0.0;0.0;0.0;;4.0;8.0;50.0;;;;;;;;;;;;;;
70055609;201601;2016-01-18;0.9;0.0;4.0;28.0;0.0;0.0;0.0;0.0;;2.0;3.0;40.0;;;;;;;;;;;;;;
70055644;201601;2016-01-21;0.8;0.0;4.0;38.0;0.0;0.0;1.0;0.0;;1.0;5.0;60.0;;;;;;;;;;;;;;
70055651;201601;2016-01-12;0.6;1.0;4.0;66.0;0.0;0.0;0.0;0.0;;5.0;10.0;90.0;;;;;;;;;;;;;;
70055713;201601;2016-01-14;2.4;1.0;2.0;50.0;0.0;0.0;1.0;0.0;;5.0;5.0;10.0;;;;;;;;;;;;;;
