userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70107684;202006;2020-06-05;2.3;0.0;2.0;68.0;0.0;0.0;0.0;0.0;;5.0;4.0;50.0;;;;;;;;;;;;;;
70107691;202006;2020-06-18;0.5;0.0;4.0;65.0;1.0;0.0;1.0;0.0;;3.0;5.0;80.0;;;;;;;;;;;;;;
70107703;202006;2020-06-12;0.8;0.0;4.0;57.0;0.0;0.0;0.0;0.0;;4.0;0.0;69.0;;;;;;;;;;;;;;
70107750;202006;2020-06-03;0.7;1.0;4.0;49.0;0.0;1.0;0.0;0.0;;3.0;5.0;2.0;;;;;;;;;;;;;;
70107847;202006;2020-06-20;1.4;0.0;3.0;53.0;0.0;0.0;1.0;1.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70107879;202006;2020-06-21;0.7;0.0;4.0;30.0;0.0;0.0;0.0;0.0;;3.0;1.0;5.0;;;;;;;;;;;;;;
70107929;202006;2020-06-12;0.6;0.0;4.0;48.0;0.0;0.0;1.0;1.0;;8.0;2.0;3.0;;;;;;;;;;;;;;
70108007;202006;2020-06-18;0.5;1.0;4.0;69.0;0.0;0.0;1.0;0.0;;1.0;1.0;21.0;;;;;;;;;;;;;;
70108008;202006;2020-06-21;0.7;0.0;4.0;38.0;0.0;0.0;1.0;3.0;;3.0;-2.0;80.0;;;;;;;;;;;;;;
70108026;202006;2020-06-29;0.7;0.0;4.0;48.0;1.0;0.0;1.0;0.0;;3.0;0.0;51.0;;;;;;;;;;;;;;
70108046;202006;2020-06-05;0.9;1.0;3.0;28.0;0.0;0.0;0.0;2.0;;2.0;1.0;27.0;;;;;;;;;;;;;;
70108058;202006;2020-06-06;0.9;1.0;3.0;86.0;0.0;0.0;0.0;0.0;;2.0;-6.0;1.0;;;;;;;;;;;;;;
70108076;202006;2020-06-12;1.2;1.0;3.0;87.0;0.0;0.0;0.0;0.0;;4.0;-3.0;70.0;;;;;;;;;;;;;;
70108082;202006;2020-06-17;0.4;0.0;4.0;66.0;0.0;0.0;1.0;1.0;;5.0;10.0;70.0;;;;;;;;;;;;;;
70108101;202006;2020-06-15;0.6;1.0;4.0;41.0;0.0;0.0;1.0;3.0;;2.0;-2.0;50.0;;;;;;;;;;;;;;
70108102;202006;2020-06-04;4.2;1.0;2.0;49.0;0.0;0.0;0.0;1.0;;-4.0;5.0;80.0;;;;;;;;;;;;;;
70108146;202006;2020-06-04;0.8;0.0;4.0;25.0;0.0;0.0;1.0;0.0;;2.0;2.0;40.0;;;;;;;;;;;;;;
70108171;202006;2020-06-19;0.9;0.0;3.0;60.0;0.0;0.0;0.0;0.0;;8.0;10.0;59.0;;;;;;;;;;;;;;
70108347;202006;2020-06-13;1.1;1.0;3.0;59.0;0.0;0.0;1.0;0.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
70108355;202006;2020-06-04;1.0;0.0;4.0;29.0;1.0;0.0;1.0;0.0;;12.0;2.0;61.0;;;;;;;;;;;;;;
70108361;202006;2020-06-18;0.5;0.0;4.0;29.0;0.0;0.0;1.0;0.0;;6.0;3.0;4.0;;;;;;;;;;;;;;
70108366;202006;2020-06-18;0.9;0.0;4.0;33.0;0.0;0.0;1.0;1.0;;4.0;8.0;40.0;;;;;;;;;;;;;;
70108372;202006;2020-06-07;4.4;0.0;2.0;29.0;0.0;0.0;1.0;2.0;;2.0;-3.0;20.0;;;;;;;;;;;;;;
70108386;202006;2020-06-20;4.0;0.0;2.0;30.0;1.0;0.0;0.0;4.0;;-20.0;10.0;50.0;;;;;;;;;;;;;;
70108399;202006;2020-06-09;0.6;0.0;4.0;58.0;0.0;0.0;1.0;0.0;;2.0;2.0;50.0;;;;;;;;;;;;;;
70108402;202006;2020-06-19;1.0;1.0;3.0;55.0;1.0;0.0;0.0;0.0;;-35.0;-5.0;45.0;;;;;;;;;;;;;;
70108417;202006;2020-06-20;0.4;1.0;4.0;45.0;0.0;0.0;1.0;1.0;;1.0;2.0;5.0;;;;;;;;;;;;;;
70108422;202006;2020-06-12;1.0;0.0;3.0;51.0;1.0;0.0;1.0;0.0;;-10.0;-10.0;10.0;;;;;;;;;;;;;;
70108428;202006;2020-06-11;0.6;0.0;4.0;58.0;0.0;0.0;1.0;0.0;;2.0;4.0;50.0;;;;;;;;;;;;;;
70108443;202006;2020-06-21;0.5;0.0;4.0;64.0;0.0;0.0;1.0;0.0;;-2.0;15.0;50.0;;;;;;;;;;;;;;
70108445;202006;2020-06-24;0.9;1.0;3.0;69.0;0.0;0.0;0.0;0.0;;5.0;7.0;49.0;;;;;;;;;;;;;;
70108453;202006;2020-06-22;4.2;0.0;2.0;72.0;0.0;0.0;1.0;2.0;;2.0;10.0;10.0;;;;;;;;;;;;;;
70108469;202006;2020-06-20;0.6;0.0;4.0;58.0;0.0;0.0;1.0;0.0;;-5.0;-3.0;65.0;;;;;;;;;;;;;;
70108477;202006;2020-06-16;0.4;0.0;4.0;65.0;0.0;0.0;1.0;0.0;;3.0;-4.0;40.0;;;;;;;;;;;;;;
70108483;202006;2020-06-27;0.6;0.0;4.0;22.0;0.0;0.0;0.0;0.0;;-3.0;3.0;25.0;;;;;;;;;;;;;;
70108486;202006;2020-06-18;0.6;1.0;4.0;63.0;0.0;0.0;1.0;0.0;;2.0;3.0;7.0;;;;;;;;;;;;;;
70108489;202006;2020-06-22;0.9;1.0;4.0;31.0;0.0;0.0;1.0;2.0;;3.0;5.0;40.0;;;;;;;;;;;;;;
70108510;202006;2020-06-01;0.6;1.0;4.0;31.0;0.0;0.0;0.0;0.0;;3.0;-2.0;30.0;;;;;;;;;;;;;;
70108517;202006;2020-06-01;0.5;0.0;4.0;78.0;0.0;0.0;1.0;0.0;;5.0;-10.0;60.0;;;;;;;;;;;;;;
70108519;202006;2020-06-11;0.4;1.0;4.0;73.0;0.0;0.0;0.0;0.0;;3.0;2.0;45.0;;;;;;;;;;;;;;
70108520;202006;2020-06-02;0.9;0.0;3.0;58.0;0.0;0.0;0.0;0.0;;2.0;1.0;60.0;;;;;;;;;;;;;;
70108525;202006;2020-06-30;0.7;0.0;3.0;60.0;0.0;0.0;1.0;0.0;;-1.0;8.0;80.0;;;;;;;;;;;;;;
70108533;202006;2020-06-16;0.5;1.0;4.0;74.0;0.0;0.0;0.0;0.0;;10.0;-12.0;10.0;;;;;;;;;;;;;;
70108534;202006;2020-06-18;0.7;0.0;4.0;66.0;0.0;0.0;1.0;0.0;;-4.0;4.0;20.0;;;;;;;;;;;;;;
70108543;202006;2020-06-29;0.7;1.0;4.0;32.0;0.0;0.0;1.0;0.0;;2.0;2.0;70.0;;;;;;;;;;;;;;
70108547;202006;2020-06-11;3.1;1.0;2.0;41.0;0.0;1.0;0.0;1.0;;20.0;10.0;10.0;;;;;;;;;;;;;;
70108560;202006;2020-06-06;0.8;0.0;3.0;48.0;0.0;0.0;1.0;1.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70108565;202006;2020-06-25;0.6;1.0;4.0;24.0;0.0;0.0;1.0;0.0;;3.0;2.0;53.0;;;;;;;;;;;;;;
70108580;202006;2020-06-21;1.0;1.0;4.0;28.0;0.0;0.0;1.0;0.0;;5.0;0.5;60.0;;;;;;;;;;;;;;
70108590;202006;2020-06-07;0.5;1.0;4.0;28.0;0.0;0.0;1.0;2.0;;2.0;-2.0;5.0;;;;;;;;;;;;;;
70108595;202006;2020-06-12;2.3;1.0;2.0;81.0;0.0;0.0;0.0;0.0;;4.0;2.0;60.0;;;;;;;;;;;;;;
70108601;202006;2020-06-23;0.4;1.0;4.0;42.0;0.0;1.0;0.0;1.0;;2.0;-10.0;45.0;;;;;;;;;;;;;;
70108619;202006;2020-06-22;0.6;1.0;4.0;36.0;0.0;0.0;1.0;4.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70108623;202006;2020-06-03;0.9;0.0;4.0;30.0;0.0;0.0;1.0;0.0;;-2.0;2.0;50.0;;;;;;;;;;;;;;
70108627;202006;2020-06-19;0.8;0.0;3.0;58.0;0.0;0.0;0.0;1.0;;4.0;2.0;31.0;;;;;;;;;;;;;;
70108634;202006;2020-06-27;0.4;0.0;4.0;48.0;0.0;0.0;1.0;3.0;;8.0;-7.0;35.0;;;;;;;;;;;;;;
70108639;202006;2020-06-22;0.9;1.0;3.0;58.0;0.0;0.0;1.0;0.0;;5.0;10.0;40.0;;;;;;;;;;;;;;
70108641;202006;2020-06-12;0.9;1.0;3.0;48.0;0.0;0.0;1.0;2.0;;10.0;-10.0;20.0;;;;;;;;;;;;;;
70108649;202006;2020-06-23;0.5;0.0;4.0;65.0;0.0;0.0;0.0;0.0;;1.0;1.0;60.0;;;;;;;;;;;;;;
70108680;202006;2020-06-14;3.7;0.0;2.0;50.0;0.0;0.0;1.0;3.0;;3.0;-10.0;70.0;;;;;;;;;;;;;;
70108682;202006;2020-06-15;1.0;1.0;3.0;72.0;0.0;0.0;0.0;0.0;;6.0;5.0;78.0;;;;;;;;;;;;;;
70108683;202006;2020-06-18;0.5;1.0;4.0;63.0;0.0;0.0;1.0;0.0;;4.0;5.0;60.0;;;;;;;;;;;;;;
