userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70112543;202103;2021-03-10;1.0;1.0;3.0;50.0;1.0;0.0;0.0;1.0;;10.0;13.0;9.0;;;;;;;;;;;;;;
70112576;202103;2021-03-13;2.6;1.0;1.0;55.0;0.0;0.0;0.0;0.0;;25.0;25.0;24.0;;;;;;;;;;;;;;
70112584;202103;2021-03-21;0.9;1.0;4.0;60.0;0.0;0.0;1.0;2.0;;1.8;5.0;40.0;;;;;;;;;;;;;;
70112607;202103;2021-03-23;0.5;1.0;4.0;65.0;0.0;1.0;0.0;0.0;;25.0;25.0;51.0;;;;;;;;;;;;;;
70112622;202103;2021-03-13;0.7;0.0;4.0;48.0;0.0;1.0;1.0;3.0;;4.0;4.0;31.0;;;;;;;;;;;;;;
70112633;202103;2021-03-14;0.9;1.0;4.0;28.0;1.0;0.0;1.0;0.0;;-20.0;10.0;10.0;;;;;;;;;;;;;;
70112638;202103;2021-03-23;1.0;0.0;4.0;67.0;0.0;0.0;0.0;1.0;;2.0;5.0;20.0;;;;;;;;;;;;;;
70112647;202103;2021-03-01;0.8;0.0;4.0;48.0;1.0;0.0;1.0;2.0;;2.0;3.0;55.0;;;;;;;;;;;;;;
70112651;202103;2021-03-21;1.2;1.0;3.0;56.0;0.0;0.0;0.0;1.0;;5.0;5.0;20.0;;;;;;;;;;;;;;
70112677;202103;2021-03-22;0.7;0.0;4.0;43.0;0.0;0.0;1.0;1.0;;4.5;10.0;60.0;;;;;;;;;;;;;;
70112728;202103;2021-03-21;1.2;0.0;3.0;63.0;0.0;0.0;0.0;0.0;;6.0;15.0;41.0;;;;;;;;;;;;;;
70114047;202103;2021-03-19;1.1;1.0;4.0;75.0;0.0;0.0;1.0;0.0;;8.0;4.0;50.0;;;;;;;;;;;;;;
70114164;202103;2021-03-29;0.7;0.0;4.0;51.0;0.0;0.0;1.0;2.0;;3.0;2.0;15.0;;;;;;;;;;;;;;
70114206;202103;2021-03-19;0.4;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;6.0;1.0;25.0;;;;;;;;;;;;;;
70114255;202103;2021-03-07;0.8;1.0;4.0;35.0;0.0;0.0;0.0;0.0;;3.0;5.0;80.0;;;;;;;;;;;;;;
70114257;202103;2021-03-12;0.8;1.0;4.0;42.0;0.0;0.0;1.0;0.0;;3.0;6.0;39.0;;;;;;;;;;;;;;
70114344;202103;2021-03-10;0.7;0.0;4.0;54.0;0.0;0.0;1.0;2.0;;5.0;10.0;10.0;;;;;;;;;;;;;;
70114349;202103;2021-03-11;1.7;1.0;3.0;52.0;0.0;0.0;1.0;2.0;;8.0;5.0;36.0;;;;;;;;;;;;;;
70114695;202103;2021-03-24;0.3;1.0;4.0;53.0;0.0;1.0;0.0;0.0;;2.0;-5.0;4.0;;;;;;;;;;;;;;
70114702;202103;2021-03-17;0.3;0.0;4.0;70.0;0.0;0.0;0.0;0.0;;5.0;5.0;30.0;;;;;;;;;;;;;;
70114703;202103;2021-03-23;1.2;1.0;3.0;60.0;0.0;0.0;1.0;1.0;;10.0;20.0;46.0;;;;;;;;;;;;;;
70114704;202103;2021-03-13;2.1;0.0;3.0;66.0;0.0;0.0;1.0;0.0;;4.0;3.0;51.0;;;;;;;;;;;;;;
70114724;202103;2021-03-07;0.5;1.0;4.0;41.0;0.0;0.0;1.0;0.0;;2.0;2.0;55.0;;;;;;;;;;;;;;
70114727;202103;2021-03-07;0.6;0.0;4.0;52.0;0.0;0.0;0.0;0.0;;2.0;10.0;60.0;;;;;;;;;;;;;;
70114737;202103;2021-03-22;0.9;0.0;4.0;35.0;0.0;0.0;1.0;3.0;;5.0;5.0;79.0;;;;;;;;;;;;;;
