userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70071606;201705;2017-05-20;0.8;1.0;3.0;66.0;0.0;0.0;1.0;0.0;;5.0;-1.0;16.0;;;;;;;;;;;;;;
70071611;201705;2017-05-03;0.6;0.0;4.0;64.0;0.0;0.0;1.0;0.0;;2.0;4.0;49.0;;;;;;;;;;;;;;
70071660;201705;2017-05-04;0.7;1.0;4.0;52.0;0.0;0.0;1.0;2.0;;5.0;15.0;6.0;;;;;;;;;;;;;;
70071668;201705;2017-05-05;1.0;0.0;3.0;49.0;0.0;0.0;1.0;1.0;;10.0;10.0;5.0;;;;;;;;;;;;;;
70071688;201705;2017-05-24;0.6;1.0;4.0;42.0;0.0;0.0;1.0;3.0;;2.5;5.0;20.0;;;;;;;;;;;;;;
70071693;201705;2017-05-04;0.8;0.0;3.0;54.0;0.0;0.0;0.0;0.0;;3.0;8.0;60.0;;;;;;;;;;;;;;
70071699;201705;2017-05-12;0.6;0.0;4.0;41.0;0.0;0.0;1.0;5.0;;-2.0;3.5;45.0;;;;;;;;;;;;;;
70071770;201705;2017-05-06;0.8;0.0;4.0;32.0;0.0;0.0;1.0;0.0;;3.0;-5.0;30.0;;;;;;;;;;;;;;
70071772;201705;2017-05-31;0.7;0.0;4.0;50.0;1.0;0.0;0.0;0.0;;2.4;1.5;26.0;;;;;;;;;;;;;;
70071819;201705;2017-05-23;0.6;0.0;4.0;66.0;0.0;0.0;0.0;0.0;;2.5;5.0;47.0;;;;;;;;;;;;;;
70071821;201705;2017-05-03;3.6;1.0;2.0;34.0;0.0;0.0;0.0;2.0;;3.0;3.0;10.0;;;;;;;;;;;;;;
70071830;201705;2017-05-02;0.9;1.0;3.0;60.0;0.0;0.0;0.0;0.0;;4.0;2.0;40.0;;;;;;;;;;;;;;
70071893;201705;2017-05-03;0.8;1.0;3.0;66.0;0.0;0.0;1.0;0.0;;-3.0;24.0;7.0;;;;;;;;;;;;;;
70071917;201705;2017-05-07;1.0;1.0;3.0;34.0;0.0;0.0;1.0;3.0;;4.0;5.0;85.0;;;;;;;;;;;;;;
70071945;201705;2017-05-30;1.1;1.0;3.0;49.0;0.0;0.0;1.0;1.0;;-20.0;10.0;40.0;;;;;;;;;;;;;;
70071949;201705;2017-05-04;0.6;0.0;4.0;54.0;1.0;0.0;1.0;0.0;;10.0;10.0;5.0;;;;;;;;;;;;;;
70071965;201705;2017-05-22;0.8;1.0;3.0;49.0;0.0;0.0;0.0;1.0;;5.0;5.0;63.0;;;;;;;;;;;;;;
70071975;201705;2017-05-09;0.6;1.0;4.0;54.0;0.0;0.0;0.0;3.0;;6.0;7.0;30.0;;;;;;;;;;;;;;
70072009;201705;2017-05-03;0.8;0.0;3.0;61.0;0.0;0.0;1.0;0.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70072065;201705;2017-05-12;0.5;0.0;4.0;42.0;0.0;0.0;1.0;2.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70072070;201705;2017-05-22;0.4;0.0;4.0;72.0;0.0;0.0;1.0;0.0;;3.0;3.0;70.0;;;;;;;;;;;;;;
70072102;201705;2017-05-08;0.6;1.0;4.0;39.0;0.0;0.0;1.0;1.0;;3.0;2.0;15.0;;;;;;;;;;;;;;
70072110;201705;2017-05-22;0.8;1.0;4.0;33.0;0.0;1.0;1.0;2.0;;8.0;20.0;49.0;;;;;;;;;;;;;;
70072130;201705;2017-05-07;0.9;0.0;3.0;55.0;0.0;0.0;0.0;0.0;;-7.5;3.9;15.0;;;;;;;;;;;;;;
70072188;201705;2017-05-22;0.4;0.0;4.0;32.0;0.0;0.0;0.0;0.0;;3.0;10.0;50.0;;;;;;;;;;;;;;
70072214;201705;2017-05-11;0.9;1.0;3.0;34.0;1.0;0.0;0.0;1.0;;20.0;25.0;84.0;;;;;;;;;;;;;;
70072215;201705;2017-05-27;3.8;1.0;2.0;65.0;0.0;0.0;1.0;0.0;;10.0;6.0;30.0;;;;;;;;;;;;;;
70072224;201705;2017-05-03;0.5;1.0;4.0;36.0;0.0;0.0;0.0;0.0;;20.0;-15.0;50.0;;;;;;;;;;;;;;
70072278;201705;2017-05-07;0.4;0.0;4.0;56.0;0.0;0.0;1.0;2.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70072305;201705;2017-05-21;0.7;0.0;4.0;54.0;0.0;0.0;1.0;1.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70072554;201705;2017-05-02;0.9;1.0;3.0;52.0;0.0;0.0;0.0;1.0;;99.0;80.0;8.0;;;;;;;;;;;;;;
70072566;201705;2017-05-18;0.4;1.0;4.0;56.0;0.0;0.0;0.0;0.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70072573;201705;2017-05-12;1.0;0.0;3.0;89.0;0.0;0.0;1.0;0.0;;4.0;5.0;50.0;;;;;;;;;;;;;;
70072583;201705;2017-05-25;0.8;0.0;4.0;49.0;0.0;0.0;0.0;3.0;;2.0;1.5;60.0;;;;;;;;;;;;;;
70072584;201705;2017-05-12;0.9;0.0;3.0;65.0;0.0;0.0;1.0;0.0;;2.0;3.0;39.0;;;;;;;;;;;;;;
70072591;201705;2017-05-02;0.6;0.0;4.0;37.0;0.0;0.0;1.0;3.0;;1.5;2.0;30.0;;;;;;;;;;;;;;
70072614;201705;2017-05-09;3.2;1.0;2.0;73.0;0.0;0.0;1.0;0.0;;3.0;5.0;51.0;;;;;;;;;;;;;;
70072624;201705;2017-05-04;0.6;0.0;4.0;66.0;0.0;0.0;1.0;0.0;;2.0;10.0;30.0;;;;;;;;;;;;;;
70072627;201705;2017-05-11;4.1;0.0;2.0;29.0;0.0;0.0;0.0;0.0;;-1.5;4.0;67.0;;;;;;;;;;;;;;
70072640;201705;2017-05-10;0.7;1.0;4.0;47.0;0.0;0.0;1.0;2.0;;3.0;4.0;50.0;;;;;;;;;;;;;;
70072641;201705;2017-05-13;1.1;1.0;3.0;38.0;0.0;1.0;0.0;1.0;;5.0;-2.0;50.0;;;;;;;;;;;;;;
70072645;201705;2017-05-03;1.2;1.0;3.0;64.0;0.0;0.0;1.0;0.0;;5.0;4.0;35.0;;;;;;;;;;;;;;
70072647;201705;2017-05-03;0.8;1.0;4.0;29.0;0.0;0.0;0.0;0.0;;2.0;15.0;51.0;;;;;;;;;;;;;;
70072663;201705;2017-05-03;2.4;0.0;1.0;61.0;1.0;1.0;1.0;2.0;;20.0;7.0;15.0;;;;;;;;;;;;;;
70072679;201705;2017-05-03;0.6;0.0;4.0;44.0;0.0;0.0;1.0;0.0;;1.5;6.0;20.0;;;;;;;;;;;;;;
70072688;201705;2017-05-17;0.7;0.0;4.0;60.0;0.0;0.0;1.0;0.0;;3.0;1.0;50.0;;;;;;;;;;;;;;
70072703;201705;2017-05-03;1.0;1.0;3.0;74.0;0.0;0.0;0.0;1.0;;12.0;12.0;53.0;;;;;;;;;;;;;;
70072709;201705;2017-05-05;3.0;1.0;2.0;68.0;0.0;0.0;1.0;0.0;;5.0;10.0;20.0;;;;;;;;;;;;;;
70072714;201705;2017-05-03;0.4;1.0;4.0;51.0;0.0;0.0;0.0;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70072719;201705;2017-05-27;0.4;1.0;4.0;60.0;0.0;0.0;0.0;1.0;;2.0;1.0;80.0;;;;;;;;;;;;;;
70072722;201705;2017-05-13;0.8;0.0;4.0;35.0;0.0;0.0;1.0;3.0;;2.0;3.0;25.0;;;;;;;;;;;;;;
70072729;201705;2017-05-07;0.5;0.0;4.0;54.0;0.0;0.0;0.0;0.0;;2.0;6.0;85.0;;;;;;;;;;;;;;
70072749;201705;2017-05-21;2.9;1.0;2.0;34.0;0.0;0.0;1.0;2.0;;1.0;1.0;50.0;;;;;;;;;;;;;;
70072764;201705;2017-05-12;0.5;1.0;4.0;45.0;0.0;0.0;0.0;2.0;;3.0;5.0;55.0;;;;;;;;;;;;;;
70072773;201705;2017-05-22;3.2;1.0;2.0;49.0;0.0;0.0;0.0;0.0;;4.0;5.0;11.0;;;;;;;;;;;;;;
70072784;201705;2017-05-03;0.7;1.0;4.0;57.0;0.0;1.0;1.0;0.0;;10.0;5.0;10.0;;;;;;;;;;;;;;
70072803;201705;2017-05-22;0.6;0.0;4.0;70.0;0.0;0.0;1.0;0.0;;5.0;5.0;10.0;;;;;;;;;;;;;;
70072808;201705;2017-05-07;0.7;1.0;3.0;55.0;0.0;0.0;0.0;0.0;;5.0;3.0;80.0;;;;;;;;;;;;;;
70072810;201705;2017-05-19;0.9;1.0;3.0;65.0;0.0;0.0;0.0;0.0;;5.0;3.0;50.0;;;;;;;;;;;;;;
70072818;201705;2017-05-07;0.9;0.0;3.0;66.0;0.0;0.0;1.0;0.0;;5.0;3.0;20.0;;;;;;;;;;;;;;
70072829;201705;2017-05-31;0.4;0.0;4.0;67.0;0.0;0.0;1.0;0.0;;2.0;4.0;50.0;;;;;;;;;;;;;;
70072856;201705;2017-05-05;1.0;1.0;3.0;52.0;1.0;0.0;1.0;1.0;;3.0;10.0;20.0;;;;;;;;;;;;;;
