userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70101489;201911;2019-11-20;0.7;0.0;4.0;63.0;0.0;0.0;0.0;0.0;;4.0;4.0;11.0;;;;;;;;;;;;;;
70101495;201911;2019-11-02;0.5;0.0;4.0;28.0;0.0;0.0;1.0;0.0;;3.0;3.0;5.0;;;;;;;;;;;;;;
70101539;201911;2019-11-03;0.9;0.0;3.0;71.0;0.0;0.0;0.0;0.0;;3.0;3.0;50.0;;;;;;;;;;;;;;
70101565;201911;2019-11-10;0.5;1.0;4.0;68.0;0.0;0.0;0.0;0.0;;-5.0;-2.0;30.0;;;;;;;;;;;;;;
70101609;201911;2019-11-04;0.5;0.0;4.0;34.0;0.0;0.0;1.0;0.0;;2.0;5.0;60.0;;;;;;;;;;;;;;
70101611;201911;2019-11-23;0.6;1.0;4.0;35.0;0.0;0.0;1.0;2.0;;2.0;2.5;20.0;;;;;;;;;;;;;;
70101613;201911;2019-11-23;3.8;0.0;2.0;35.0;0.0;0.0;1.0;3.0;;2.5;3.0;30.0;;;;;;;;;;;;;;
70101656;201911;2019-11-23;0.7;0.0;4.0;26.0;0.0;0.0;1.0;0.0;;-2.0;1.0;19.0;;;;;;;;;;;;;;
70101658;201911;2019-11-22;1.0;0.0;3.0;70.0;0.0;0.0;1.0;0.0;;1.0;5.0;20.0;;;;;;;;;;;;;;
70101702;201911;2019-11-26;0.6;0.0;4.0;58.0;0.0;0.0;1.0;0.0;;1.0;-1.0;50.0;;;;;;;;;;;;;;
70101752;201911;2019-11-29;0.5;1.0;4.0;48.0;0.0;0.0;0.0;0.0;;3.0;2.0;50.0;;;;;;;;;;;;;;
70101779;201911;2019-11-29;0.6;0.0;4.0;63.0;0.0;0.0;1.0;2.0;;4.0;4.0;30.0;;;;;;;;;;;;;;
70101782;201911;2019-11-10;2.2;0.0;2.0;85.0;0.0;0.0;0.0;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70101800;201911;2019-11-05;1.2;0.0;3.0;49.0;0.0;0.0;1.0;0.0;;2.0;5.0;67.0;;;;;;;;;;;;;;
70101803;201911;2019-11-09;0.6;0.0;4.0;55.0;0.0;0.0;1.0;0.0;;2.0;3.0;50.0;;;;;;;;;;;;;;
70101805;201911;2019-11-15;0.4;1.0;4.0;62.0;0.0;0.0;0.0;0.0;;3.0;5.0;50.0;;;;;;;;;;;;;;
70101809;201911;2019-11-30;0.6;1.0;3.0;58.0;0.0;0.0;0.0;0.0;;8.0;5.0;50.0;;;;;;;;;;;;;;
70101825;201911;2019-11-26;1.0;0.0;3.0;54.0;0.0;0.0;1.0;0.0;;-2.0;-1.0;30.0;;;;;;;;;;;;;;
70101926;201911;2019-11-30;0.4;1.0;4.0;75.0;0.0;0.0;0.0;0.0;;2.6;2.1;43.0;;;;;;;;;;;;;;
70101932;201911;2019-11-05;0.6;0.0;4.0;60.0;0.0;0.0;0.0;0.0;;3.0;5.0;75.0;;;;;;;;;;;;;;
70101953;201911;2019-11-26;0.9;1.0;4.0;25.0;0.0;0.0;1.0;0.0;;1.0;5.0;79.0;;;;;;;;;;;;;;
70101967;201911;2019-11-16;0.8;0.0;4.0;67.0;0.0;0.0;1.0;0.0;;3.0;4.0;30.0;;;;;;;;;;;;;;
70101980;201911;2019-11-18;0.4;1.0;4.0;47.0;0.0;0.0;1.0;1.0;;3.0;2.0;2.0;;;;;;;;;;;;;;
70101991;201911;2019-11-03;0.9;0.0;3.0;65.0;0.0;0.0;1.0;0.0;;0.5;0.5;75.0;;;;;;;;;;;;;;
70101996;201911;2019-11-17;3.8;1.0;2.0;30.0;0.0;1.0;1.0;2.0;;20.0;20.0;50.0;;;;;;;;;;;;;;
70102000;201911;2019-11-06;0.8;1.0;3.0;62.0;0.0;0.0;0.0;0.0;;2.0;2.0;5.0;;;;;;;;;;;;;;
70102082;201911;2019-11-18;1.2;0.0;3.0;64.0;0.0;0.0;1.0;0.0;;5.0;3.0;49.0;;;;;;;;;;;;;;
70102091;201911;2019-11-21;0.9;0.0;3.0;67.0;0.0;0.0;1.0;0.0;;2.0;2.0;10.0;;;;;;;;;;;;;;
70102131;201911;2019-11-15;0.6;0.0;4.0;58.0;0.0;0.0;1.0;5.0;;2.0;5.0;60.0;;;;;;;;;;;;;;
