userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
70051996;201510;2015-10-21;1.0;0.0;3.0;66.0;0.0;0.0;0.0;1.0;;5.0;8.0;50.0;;;;;;;;;;;;;;
70052003;201510;2015-10-03;0.5;1.0;4.0;31.0;0.0;0.0;1.0;2.0;;10.0;-5.0;33.0;;;;;;;;;;;;;;
70052014;201510;2015-10-03;0.6;0.0;4.0;82.0;0.0;0.0;1.0;0.0;;2.0;1.5;50.0;;;;;;;;;;;;;;
70052034;201510;2015-10-05;0.6;1.0;4.0;35.0;0.0;0.0;1.0;2.0;;3.0;3.0;20.0;;;;;;;;;;;;;;
70052043;201510;2015-10-16;1.1;1.0;3.0;42.0;0.0;1.0;0.0;0.0;;5.0;-13.0;6.0;;;;;;;;;;;;;;
70052211;201510;2015-10-22;3.4;0.0;2.0;73.0;0.0;0.0;1.0;0.0;;10.0;20.0;50.0;;;;;;;;;;;;;;
70052292;201510;2015-10-22;0.8;0.0;3.0;51.0;0.0;0.0;0.0;2.0;;4.0;3.0;65.0;;;;;;;;;;;;;;
70052346;201510;2015-10-03;2.5;0.0;2.0;82.0;0.0;0.0;1.0;0.0;;2.0;3.0;20.0;;;;;;;;;;;;;;
70052385;201510;2015-10-11;0.8;0.0;3.0;60.0;0.0;0.0;1.0;0.0;;3.0;10.0;50.0;;;;;;;;;;;;;;
70052414;201510;2015-10-03;0.5;1.0;4.0;48.0;1.0;1.0;0.0;4.0;;3.0;3.0;3.0;;;;;;;;;;;;;;
70052447;201510;2015-10-12;0.8;1.0;4.0;32.0;0.0;0.0;1.0;2.0;;-4.0;4.0;20.0;;;;;;;;;;;;;;
70052501;201510;2015-10-12;0.9;0.0;4.0;25.0;0.0;0.0;0.0;0.0;;2.0;4.0;56.0;;;;;;;;;;;;;;
70052546;201510;2015-10-26;0.5;1.0;4.0;62.0;0.0;0.0;0.0;0.0;;2.0;0.0;0.0;;;;;;;;;;;;;;
70052559;201510;2015-10-30;0.5;1.0;4.0;46.0;0.0;0.0;1.0;3.0;;2.0;5.0;50.0;;;;;;;;;;;;;;
70052613;201510;2015-10-10;0.5;0.0;4.0;48.0;0.0;0.0;0.0;2.0;;-5.0;-10.0;0.0;;;;;;;;;;;;;;
70052619;201510;2015-10-22;0.6;1.0;4.0;35.0;0.0;0.0;0.0;0.0;;10.0;10.0;50.0;;;;;;;;;;;;;;
70052629;201510;2015-10-06;0.5;1.0;4.0;82.0;0.0;0.0;1.0;0.0;;3.0;5.0;30.0;;;;;;;;;;;;;;
70052632;201510;2015-10-12;0.6;1.0;4.0;27.0;0.0;0.0;0.0;0.0;;2.0;5.0;5.0;;;;;;;;;;;;;;
