userid;wid;date;weight;female;educ;age;hispanic;black;couple;num_kids;owner;inflation;house_price_change;prob_stocks_up;num_lit_q1;num_lit_q1_correct;num_lit_q2;num_lit_q2_correct;num_lit_q3;num_lit_q3_correct;num_lit_q5;num_lit_q5_correct;num_lit_q6;num_lit_q6_correct;num_lit_q8;num_lit_q8_correct;num_lit_q9;num_lit_q9_correct
75014874;202409;2024-09-15;0.7;0.0;4.0;53.0;0.0;0.0;0.0;0.0;;4.0;5.0;60.0;;;;;;;;;;;;;;
75014888;202409;2024-09-07;0.5;1.0;4.0;49.0;0.0;0.0;1.0;3.0;;5.0;-2.0;11.0;;;;;;;;;;;;;;
75014942;202409;2024-09-24;2.8;0.0;2.0;67.0;0.0;0.0;0.0;0.0;;3.0;5.0;5.0;;;;;;;;;;;;;;
75014955;202409;2024-09-12;0.6;0.0;4.0;38.0;0.0;0.0;1.0;0.0;;2.0;-1.0;50.0;;;;;;;;;;;;;;
75014998;202409;2024-09-20;0.5;0.0;4.0;43.0;0.0;0.0;1.0;0.0;;2.5;4.0;70.0;;;;;;;;;;;;;;
75015018;202409;2024-09-04;0.8;0.0;4.0;54.0;0.0;0.0;1.0;3.0;;10.0;10.0;5.0;;;;;;;;;;;;;;
75015062;202409;2024-09-17;0.9;0.0;3.0;50.0;0.0;0.0;1.0;1.0;;-1.0;-3.0;55.0;;;;;;;;;;;;;;
75015137;202409;2024-09-05;0.8;1.0;4.0;50.0;0.0;1.0;1.0;2.0;;-5.0;5.0;30.0;;;;;;;;;;;;;;
75015151;202409;2024-09-04;0.5;1.0;4.0;47.0;0.0;0.0;0.0;0.0;;2.0;-5.0;80.0;;;;;;;;;;;;;;
75015208;202409;2024-09-30;0.7;0.0;4.0;58.0;0.0;0.0;1.0;0.0;;2.5;12.0;84.0;;;;;;;;;;;;;;
75015248;202409;2024-09-16;0.9;0.0;3.0;68.0;0.0;0.0;1.0;1.0;;5.0;15.0;49.0;;;;;;;;;;;;;;
75015254;202409;2024-09-12;0.9;1.0;3.0;21.0;0.0;0.0;0.0;0.0;;5.0;10.0;40.0;;;;;;;;;;;;;;
75015257;202409;2024-09-04;2.8;0.0;2.0;60.0;0.0;0.0;0.0;0.0;;5.0;5.0;10.0;;;;;;;;;;;;;;
75015259;202409;2024-09-16;0.6;0.0;4.0;44.0;0.0;0.0;1.0;4.0;;8.0;8.0;60.0;;;;;;;;;;;;;;
75015278;202409;2024-09-23;0.6;0.0;4.0;40.0;0.0;0.0;0.0;0.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
75015281;202409;2024-09-05;0.5;0.0;4.0;41.0;0.0;0.0;1.0;2.0;;2.5;2.0;75.0;;;;;;;;;;;;;;
75015284;202409;2024-09-29;0.9;0.0;4.0;62.0;0.0;0.0;1.0;1.0;;-1.0;4.0;20.0;;;;;;;;;;;;;;
75015285;202409;2024-09-18;1.2;1.0;3.0;52.0;1.0;0.0;1.0;4.0;;12.0;-5.0;20.0;;;;;;;;;;;;;;
75015299;202409;2024-09-13;0.7;0.0;4.0;55.0;0.0;0.0;1.0;3.0;;6.0;5.0;60.0;;;;;;;;;;;;;;
75015302;202409;2024-09-26;0.7;1.0;3.0;37.0;1.0;0.0;1.0;3.0;;5.0;25.0;55.0;;;;;;;;;;;;;;
75015315;202409;2024-09-06;0.7;0.0;4.0;59.0;0.0;0.0;1.0;6.0;;4.0;-2.0;40.0;;;;;;;;;;;;;;
75015317;202409;2024-09-21;0.8;0.0;4.0;76.0;0.0;0.0;1.0;0.0;;3.0;3.0;71.0;;;;;;;;;;;;;;
75015327;202409;2024-09-24;1.1;1.0;3.0;77.0;0.0;0.0;0.0;0.0;;10.0;5.0;15.0;;;;;;;;;;;;;;
75015330;202409;2024-09-13;2.5;0.0;2.0;68.0;0.0;0.0;1.0;0.0;;10.0;-10.0;10.0;;;;;;;;;;;;;;
75015331;202409;2024-09-04;0.7;0.0;3.0;32.0;0.0;0.0;1.0;0.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
75015335;202409;2024-09-07;2.5;1.0;2.0;73.0;0.0;0.0;1.0;0.0;;3.0;3.0;60.0;;;;;;;;;;;;;;
75015346;202409;2024-09-19;0.7;0.0;3.0;42.0;0.0;0.0;1.0;1.0;;5.0;5.0;50.0;;;;;;;;;;;;;;
